Catagery	Object_int_name	Object_Ext_name	Field_int_name	Field_ext_name	Field_type	Geom_type	Join_type	Relation	Is_Enum	Enum_values	Data_type	Mandatory	Field Size
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	markers	Markers	dd_join_field	No	Marker	M:N	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	device_type	Device Type	dd_derived_field	No	No	No	Yes	,Circuit Breaker,Cutpoint,Elbow,Fuse,Link,Load Break Switch,Network Protector,Open Point,Others,Recloser,Sectionalizer,Side Break Switch,Switch,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_built_in_ct?	Built in CT?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_communication_port?	Communication Port?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	connector_sub	Sub Connector	dd_geom_field	chain	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	nominal_voltage_pp	Nominal Voltage (P-P)	dd_phys_field	No	No	No	Yes	,0.000 V,110.000 V,120.000 V,208.000 V,220.000 V,230.000 V,240.000 V,415.000 V,2.400 kV,4.160 kV,6.600 kV,8.000 kV,11.000 kV,12.470 kV,23.900 kV,33.000 kV,66.000 kV,115.000 kV,132.000 kV,220.000 kV,433.000 kV	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_bypass?	Bypass?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_time_of_data_collection	Time of data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	pin1	Pin1	dd_geom_field	simple_point	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_date_of_data_collection	Date of Data collection	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	phase_context	Phase Context	dd_phys_field	No	No	No	Yes	,,Unknown	NA	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_road_name	Road Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_allignment	Allignment	dd_phys_field	No	No	No	Yes	,,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_usage	Usage	dd_phys_field	No	No	No	Yes	,,Bus Coupler,Capacitor,Incomer Feeder,Mid Line,Others,Outgoing Feeder,Reactors,Service Line,Synchronous Condenser,Transformer,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	annotation_hv	HV Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	network_type	Network Type	dd_phys_field	No	No	No	Yes	,,EHV,HV,LV,MV,Substation	NA	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	mirrored_ind	Mirrored	dd_phys_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_pin_code	Pin Code	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	pin1_lv	LV Pin1	dd_geom_field	simple_point	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_sub_division_name	Sub Division Name	dd_phys_field	No	No	No	Yes	,,Aska,Balimela,Balliguda,Belaguntha,Bhanjanagar-i,Bhanjanagar-ii,Bijipur,Bijipur-Industrial,Bissam Cuttack,Boriguma,Boudh,Buguda,Chatrapur,Chikiti,Digapahandi,G UDAYAGIRI,Gopalpur,Gumuda,Gunupur,Hinjilicut,Jeypore Sdo-i,Jeypore Sdo-ii,K S Nagar,Kanisi,Kasinagar,Khallikote,Kodala,Koraput,Laxmipur,Malkangiri,Manamunda,Mohana,Nawarangpur,Nuagaon,P S Pur,Papadahandi,Parlakhemundi,Phulbani,Polasara,R.udayagiri,Rambha,Rayagada,Sheragada,Soroda,Sub.div.no-2,Sub.division No-1,Sub.division No-2,Sub.division No-3,Sunabeda,Theruballi,Umarkot,Unknown,Uppalada	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_rated_current_duration	Rated Current Duration	dd_phys_field	No	No	No	No		float	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	scada_monitor_id	SCADA Monitor ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	pin1_other	Other Pin1	dd_geom_field	simple_point	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	future_assets	Future Assets	dd_join_field	No	Isolating Equipment	join_via	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	location_description_id	location_description_id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_cyme_id	CYME Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_date_of_last_updation_in_gis	Date Last Updated in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	scada_control_id	SCADA Control ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_feeder_name	Feeder Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	circuit_and_section	Circuit/Section	dd_join_field	No	Circuit	M:N	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	annotation_lv	LV Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	installation_group	Installation Group	dd_join_field	No	Installation Group	0:N	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	owner_type	Owner Type	dd_phys_field	No	No	No	Yes	,,Company Owned,Customer,Customer Owned,Electric Utility-TPSODL,Foreign Owned,Other Utility Owned,Unknown	NA	Yes	16
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	status	Lifecycle Status	dd_phys_field	No	No	No	Yes	,Abandoned,Existing,Inactive,Proposed Abandon,Proposed Install,Proposed Relocate,Proposed Remove,Proposed Replace,Removed,Temporary	NA	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	past_assets	Past Assets	dd_join_field	No	Isolating Equipment	join_via	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_sub_mounting	Sub Mounting	dd_phys_field	No	No	No	Yes	,,Basement,Elevated,Joist,Kiosk,Lattice Welded,Others,PCC Pole,Panel Mounted,Platform Mounted,Plinth,Pole,Rail,Steel Tubular Pole,Stilt Mounted,Tower,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	annotation_other	Other Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_migration_unique_id	Migration Unique Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	250
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	source_id	Source ID	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	scada_type	SCADA Type	dd_phys_field	No	No	No	Yes	,,Control,Monitored,None,Unknown	NA	No	11
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	circuit_id	Circuit ID	dd_derived_field	No	No	No	No		ds_char16_vector	No	12
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	future_phases	Future Phases	dd_join_field	No	Isolating Equipment Future Phase	1:n	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_division_name	Division Name	dd_phys_field	No	No	No	Yes	,,Aska-i,Aska-ii,Bed-2,Berhampur-i,Berhampur-iii,Bhanja Nagar,Boudh,Digapahandi,Ganjam North,Ganjam South,Gunupur,Hinjilicut,Jeypore,Koraput,Malkangiri,Nawarangpur,Parlakshemundi,Phulbani,Purusottampur,Raygada,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	connector_other	Other Connector	dd_geom_field	chain	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_circle_name	Circle Name	dd_phys_field	No	No	No	Yes	,,Aska,Berhampur,Bhanjanagar,City,City Circle,Jeypore,Rayagada,Raygada,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	annotation_mv	MV Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	connector	Connector	dd_geom_field	chain	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	annotation	Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	circuit_and_section_boundary	Circuit/Section Boundary	dd_join_field	No	Circuit	M:N	No		NA	No	20
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	connector_mv	MV Connector	dd_geom_field	chain	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_date_of_creation_in_gis	Date of Creation in GIS	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	pin1_mv	MV Pin1	dd_geom_field	simple_point	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_tie?	Tie?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_auto_reclose	Auto Reclose?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	owner_name	Owner Name	dd_phys_field	No	No	No	Yes	,,Cable Company,Customer,Electric Utility,Telephone Company,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	connector_hv	HV Connector	dd_geom_field	chain	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_sap_functional_location	SAP Functional Location	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_division_code	Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_city	City	dd_phys_field	No	No	No	Yes	,,Others,Unknown	NA	No	10
Equipment	eo_isolating_eqpt_inst	Isolating Equipment Installation	tp_number_of_poles	Number of Poles	dd_phys_field	No	No	No	Yes	,,0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,Unknown	NA	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	controller	Controller	dd_join_field	No	Isolating Equipment Controller	0:n	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	source_data	Source Data	dd_phys_field	No	No	No	No		ds_char16_vector	No	6
Equipment	eo_isolating_eqpt	Isolating Equipment	future_phases	Future Phases	dd_join_field	No	Isolating Equipment Future Phase	1:n	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	interrupt_capacity	Interrupt Capacity	dd_derived_field	No	No	No	No		float	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	alias	Alias	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Equipment	eo_isolating_eqpt	Isolating Equipment	remarks_id	Remarks Id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_isolating_eqpt	Isolating Equipment	asset_id	Asset ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	36
Equipment	eo_isolating_eqpt	Isolating Equipment	date_manufactured	Date Manufactured	dd_phys_field	No	No	No	No		ds_date	No	19
Equipment	eo_isolating_eqpt	Isolating Equipment	gang_operated_ind	Gang Operated	dd_derived_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Equipment	eo_isolating_eqpt	Isolating Equipment	manufacturer	Manufacturer	dd_phys_field	No	No	No	Yes	,,ABB,Avon,Bell Lumber,Bentex Linger Switchgear,Bharat Heavy Electricals,Capital Meters,ECE,Elymer Electrics,GEC Alsthom,General Electric,Genus Infrastructures,Havells,Himachal Energy,Hpl Electric & Power,Indotech Switchgear & Controls (Delhi),International Paper,J.H. Baxter,Jaipur Electronics,Jnj Powercom,Juvas,Koppers,L.D. McFarland,Landis & Gyr,Larsen & Toubro,Montel Limited,North Pacfic Lumber,Oeser,Other,Palmohan,Pole Star,Powertech,Secure Meter,SquareD,Stella-Jones,Suzhou Power Meter,Taylor Lumber,Unknown,Visiontek,Westinghouse,Weyerhaeuser,ZEN	NA	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	specification_description	Specification Description	dd_derived_field	No	No	No	No		ds_char16_vector	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	tp_mechanism	Mechanism	dd_phys_field	No	No	No	Yes	,,Compressor,Contactor,Hydraulic,Manual,Motarised,Motorised Spring,Others,Unknown	NA	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	source_id	Source ID	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	tp_migration_unique_id	Migration Unique Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt	Isolating Equipment	specification	Specification	dd_join_field	No	Isolating Equipment Spec	0:N	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	past_phases	Past Phases	dd_join_field	No	Isolating Equipment Past Phase	1:n	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	serial_number	Serial Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	tp_ea_equipment_id	EA Equipment ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_isolating_eqpt	Isolating Equipment	number_of_phases	Number of Phases	dd_derived_field	No	No	No	No		integer	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	existing_phases	Existing Phases	dd_join_field	No	Isolating Equipment Existing Phase	1:n	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	rated_continuous_current	Rated Continuous Current	dd_derived_field	No	No	No	No		float	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	device_type	Device Type	dd_phys_field	No	No	No	Yes	,Circuit Breaker,Cutpoint,Elbow,Fuse,Link,Load Break Switch,Network Protector,Open Point,Others,Recloser,Sectionalizer,Side Break Switch,Switch,Unknown	NA	Yes	10
Equipment	eo_isolating_eqpt	Isolating Equipment	existing_installation	Existing Installation	dd_join_field	No	Isolating Equipment Installation	join_via	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	past_installation	Past Installation	dd_join_field	No	Isolating Equipment Installation	join_via	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	id	Id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_isolating_eqpt	Isolating Equipment	load_break_ind	Load Break Indicator	dd_derived_field	No	No	No	Yes	,,No,Unknown,Yes	NA	No	9
Equipment	eo_isolating_eqpt	Isolating Equipment	date_acquired	Date Acquired	dd_phys_field	No	No	No	No		ds_date	No	19
Equipment	eo_isolating_eqpt	Isolating Equipment	max_interrupting_current	Max Interrupting Current	dd_derived_field	No	No	No	No		float	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	alias_description	Alias Description	dd_derived_field	No	No	No	No		ds_char16_vector	No	255
Equipment	eo_isolating_eqpt	Isolating Equipment	tp_date_of_last_maintenance	Date of Last Maintenance	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	future_installation	Future Installation	dd_join_field	No	Isolating Equipment Installation	join_via	No		NA	No	20
Equipment	eo_isolating_eqpt	Isolating Equipment	tp_rated_breaking_current	Rated Breaking Current	dd_phys_field	No	No	No	No		float	No	10
Equipment	eo_isolating_eqpt	Isolating Equipment	insulation_type	Insulation Type	dd_derived_field	No	No	No	No		ds_char16_vector	No	20
Equipment	eo_composite_switch	Composite Switch	network_type	Network Type	dd_phys_field	No	No	No	Yes	,,EHV,HV,LV,MV,Substation	NA	Yes	10
Equipment	eo_composite_switch	Composite Switch	tp_ct_secondary	CT Secondary	dd_phys_field	No	No	No	No		float	No	10
Equipment	eo_composite_switch	Composite Switch	tp_sub_division_name	Sub Division Name	dd_phys_field	No	No	No	Yes	,,Aska,Balimela,Balliguda,Belaguntha,Bhanjanagar-i,Bhanjanagar-ii,Bijipur,Bijipur-Industrial,Bissam Cuttack,Boriguma,Boudh,Buguda,Chatrapur,Chikiti,Digapahandi,G UDAYAGIRI,Gopalpur,Gumuda,Gunupur,Hinjilicut,Jeypore Sdo-i,Jeypore Sdo-ii,K S Nagar,Kanisi,Kasinagar,Khallikote,Kodala,Koraput,Laxmipur,Malkangiri,Manamunda,Mohana,Nawarangpur,Nuagaon,P S Pur,Papadahandi,Parlakhemundi,Phulbani,Polasara,R.udayagiri,Rambha,Rayagada,Sheragada,Soroda,Sub.div.no-2,Sub.division No-1,Sub.division No-2,Sub.division No-3,Sunabeda,Theruballi,Umarkot,Unknown,Uppalada	NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_data_updated_by_in_gis	Data Updated By in GIS	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_name	Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	250
Equipment	eo_composite_switch	Composite Switch	mounting	Mounting	dd_phys_field	No	No	No	Yes	,Overhead,Underground,Unknown	NA	Yes	12
Equipment	eo_composite_switch	Composite Switch	tp_ancillary_role?	Ancillary Role?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_composite_switch	Composite Switch	circuit_and_section_boundary	Circuit/Section Boundary	dd_join_field	No	Circuit	M:N	No		NA	No	20
Equipment	eo_composite_switch	Composite Switch	tp_ct_primary	CT Primary	dd_phys_field	No	No	No	No		float	No	10
Equipment	eo_composite_switch	Composite Switch	tp_ct_make	CT Make	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Equipment	eo_composite_switch	Composite Switch	tp_feeder_name	Feeder Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_date_of_de_commissioning	Date of De-Commissioning	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	tp_nominal_voltage	Nominal Voltage	dd_phys_field	No	No	No	Yes	,0.000 V,110.000 V,120.000 V,208.000 V,220.000 V,230.000 V,240.000 V,415.000 V,2.400 kV,4.160 kV,6.600 kV,8.000 kV,11.000 kV,12.470 kV,23.900 kV,33.000 kV,66.000 kV,115.000 kV,132.000 kV,220.000 kV,433.000 kV	NA	Yes	10
Equipment	eo_composite_switch	Composite Switch	tp_date_of_last_updation_in_gis	Date Last Updated in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	remarks_annotation	Remarks Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_serial_number	Serial Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_city	City	dd_phys_field	No	No	No	Yes	,,Others,Unknown	NA	No	10
Equipment	eo_composite_switch	Composite Switch	asset_id	Asset ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	36
Equipment	eo_composite_switch	Composite Switch	tp_cyme_id	CYME Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	extent	Extent	dd_geom_field	simple_area	No	No	No		NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_time_of_data_collection	Time of data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_warranty_end_date	Warranty End Date	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	tp_auxiliary_supply	Auxiliary Supply	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_installation_type	Installation Type	dd_phys_field	No	No	No	Yes	,,Combination,In Door,Out Door,Unknown	NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_sap_id	SAP ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_company_id	Company ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	nominal_voltage_pp	Nominal Voltage (P-P)	dd_phys_field	No	No	No	Yes	,0.000 V,110.000 V,120.000 V,208.000 V,220.000 V,230.000 V,240.000 V,415.000 V,2.400 kV,4.160 kV,6.600 kV,8.000 kV,11.000 kV,12.470 kV,23.900 kV,33.000 kV,66.000 kV,115.000 kV,132.000 kV,220.000 kV,433.000 kV	NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_date_manufactured	Date Manufactured	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	owner_type	Owner Type	dd_phys_field	No	No	No	Yes	,,Company Owned,Customer,Customer Owned,Electric Utility-TPSODL,Foreign Owned,Other Utility Owned,Unknown	NA	Yes	16
Equipment	eo_composite_switch	Composite Switch	tp_ctpt_combined?	CTPT Combined?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_composite_switch	Composite Switch	location_description_id	location_description_id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_composite_switch	Composite Switch	tp_pin_code	Pin Code	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_composite_switch	Composite Switch	phasing	Phasing	dd_phys_field	No	No	No	Yes	,,A,AB,ABC,ABCN,ABCNE,ABN,ABNE,AC,ACB,ACBN,ACN,ACNE,AN,ANE,B,BA,BAC,BACN,BAN,BC,BCA,BCAN,BCN,BCNE,BN,BNE,BR,C,CA,CAB,CABN,CAN,CB,CBA,CBAN,CBN,CN,CNE,Earth,Neutral,Neutral-Earth,Not Applicable,R,RB,RY,RYB,RYBN,Static,Unknown,Y,YB	NA	Yes	9
Equipment	eo_composite_switch	Composite Switch	circuit_source_stopper	Circuit Source/Stopper	dd_join_field	No	Circuit Source	0:0	No		NA	No	20
Equipment	eo_composite_switch	Composite Switch	tp_making_capacity	Making Capacity	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_composite_switch	Composite Switch	tp_operating_sequence	Operating Sequence	dd_phys_field	No	No	No	No		float	No	10
Equipment	eo_composite_switch	Composite Switch	remarks_id	remarks_id	dd_phys_field	No	No	No	No		integer	Yes	10
Equipment	eo_composite_switch	Composite Switch	number	Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	40
Equipment	eo_composite_switch	Composite Switch	tp_motorized?	Motorized?	dd_phys_field	No	No	No	Yes	,,NA,No,Unknown,Yes	NA	No	10
Equipment	eo_composite_switch	Composite Switch	alias_description	Alias Description	dd_derived_field	No	No	No	No		ds_char16_vector	No	255
Equipment	eo_composite_switch	Composite Switch	annotation	Annotation	dd_geom_field	text	No	No	No		NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_sub_division_code	Sub Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Equipment	eo_composite_switch	Composite Switch	circuit_and_section	Circuit/Section	dd_join_field	No	Circuit	M:N	No		NA	No	20
Equipment	eo_composite_switch	Composite Switch	tp_division_code	Division Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_scada_monitor_id	SCADA Monitor ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	12
Equipment	eo_composite_switch	Composite Switch	tp_ea_equipment_id	EA Equipment ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	date_installed	Date Installed	dd_phys_field	No	No	No	No		ds_date	No	19
Equipment	eo_composite_switch	Composite Switch	location	Location	dd_geom_field	simple_point	No	No	No		NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_sub_locality	Sub Locality	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_road_name	Road Name	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	phase_context	Phase Context	dd_phys_field	No	No	No	Yes	,,Unknown	NA	Yes	10
Equipment	eo_composite_switch	Composite Switch	tp_date_of_last_maintenance	Date of Last Maintenance	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	tp_work_order_id	Work Order ID	dd_phys_field	No	No	No	No		ds_char16_vector	No	64
Equipment	eo_composite_switch	Composite Switch	source_id	Source ID	dd_phys_field	No	No	No	No		integer	No	10
Equipment	eo_composite_switch	Composite Switch	tp_address	Address	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_date_of_commissioning	Date of Commissioning	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	tp_ct_serial_number	CT Serial Number	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_date_of_data_collection	Date of Data collection	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_ward_code	Ward Code	dd_phys_field	No	No	No	Yes	,,0,1,2,3,4,5,6,Unknown	NA	No	10
Equipment	eo_composite_switch	Composite Switch	tp_date_of_creation_in_gis	Date of Creation in GIS	dd_phys_field	No	No	No	No		ds_date	No	10
Equipment	eo_composite_switch	Composite Switch	tp_migration_unique_id	Migration Unique Id	dd_phys_field	No	No	No	No		ds_char16_vector	No	32
Equipment	eo_composite_switch	Composite Switch	tp_circle_name	Circle Name	dd_phys_field	No	No	No	Yes	,,Aska,Berhampur,Bhanjanagar,City,City Circle,Jeypore,Rayagada,Raygada,Unknown	NA	No	10
